InvPendulum_mu0_higher,TimestepsSoFar,InvPendulum_std3_higher,AvgEpLen,NumTrajectories,Iteration,InvPendulum_std0_higher,ReturnMax,InvPendulum_std2_higher,NatGradInftyNorm,InvPendulum_mu2_higher,ActionIn1,StepSize,InvPendulum_mu3_higher,NatGrad2Norm,InvPendulum_std1_higher,ReturnMean,MinEpLen,VarJ,BatchSize,AvgRet,InvPendulum_mu1_higher,J
-0.22476089,7033,0.01,70.33,100,1,0.01,-111.54714944845783,0.01,0.23142505,-0.3480244,-1.1124316,0.01,0.32162514,0.28190935,0.01,-159.65418683822202,22,1.7814225106320816,100,-159.65418683822202,-0.85142165,-159.65418683822202
-0.22577344,13933,0.01,69.665,200,2,0.01,-111.54714944845783,0.01,0.16327688,-0.35033864,-1.1103238,0.01,0.32081527,0.24057749,0.01,-159.05211741548104,22,1.785462030964326,100,-158.45004799274002,-0.8523758,-158.45004799274002
-0.22656596,20753,0.01,69.17666666666666,300,3,0.01,-111.54714944845783,0.01,0.25162196,-0.35186228,-1.1107085,0.01,0.32040024,0.28423437,0.01,-158.46911530613113,22,1.8302757615196228,100,-157.30311108743138,-0.85400856,-157.30311108743138
-0.22547968,27533,0.01,68.8325,400,4,0.01,-111.54714944845783,0.01,0.27340028,-0.3543785,-1.1093209,0.01,0.31995258,0.44631624,0.01,-158.26923521192816,22,1.3876602233242636,100,-157.66959492931926,-0.8546145,-157.66959492931926
-0.22418417,34168,0.01,68.336,500,5,0.01,-111.54714944845783,0.01,0.37634385,-0.3571125,-1.1014296,0.01,0.3223956,0.48682418,0.01,-157.84467021835567,22,1.1779668599621602,100,-156.14641024406575,-0.856805,-156.14641024406575
-0.22463268,40777,0.01,67.96166666666667,600,6,0.01,-111.54714944845783,0.01,0.40911934,-0.35677794,-1.1108754,0.01,0.31935862,0.48504138,0.01,-157.48107373741072,22,1.3257205581793945,100,-155.6630913326859,-0.8530416,-155.6630913326859
-0.22228126,47548,0.01,67.92571428571429,700,7,0.01,-111.54714944845783,0.01,0.2758075,-0.3565422,-1.1051245,0.01,0.32045585,0.42169943,0.01,-157.32954748324116,22,1.4525782581038467,100,-156.42038995822372,-0.8489504,-156.42038995822372
-0.22493368,54091,0.01,67.61375,800,8,0.01,-110.1387042290491,0.01,0.3415069,-0.35723686,-1.0885068,0.01,0.32208622,0.43302292,0.01,-157.11052857644458,21,1.3299191597873452,100,-155.57739622886857,-0.8517085,-155.57739622886857
-0.22834875,60821,0.01,67.57888888888888,900,9,0.01,-110.1387042290491,0.01,0.171489,-0.35797954,-1.0971045,0.01,0.31957364,0.20079239,0.01,-157.07888645351804,21,1.1098560260966737,100,-156.8257494701056,-0.8512357,-156.8257494701056
-0.22663386,67392,0.01,67.392,1000,10,0.01,-110.1387042290491,0.01,0.26843372,-0.3586391,-1.0832918,0.01,0.3203629,0.281557,0.01,-156.90506070277263,21,1.1709516135020253,100,-155.34062894606393,-0.8510541,-155.34062894606393
-0.22588587,73910,0.01,67.19090909090909,1100,11,0.01,-110.1387042290491,0.01,0.20711483,-0.3582692,-1.1125928,0.01,0.32304722,0.23778474,0.01,-156.7402436556101,21,1.0004960495703195,100,-155.09207318398487,-0.85089445,-155.09207318398487
-0.22694223,80446,0.01,67.03833333333333,1200,12,0.01,-110.1387042290491,0.01,0.103168145,-0.35875368,-1.0996491,0.01,0.32097608,0.13929175,0.01,-156.63323483487915,21,1.165129012084269,100,-155.4561378068387,-0.8507765,-155.4561378068387
-0.22710653,87010,0.01,66.93076923076923,1300,13,0.01,-110.1387042290491,0.01,0.15826648,-0.35978535,-1.1174282,0.01,0.32010612,0.23016244,0.01,-156.52221069847627,21,1.0370268324715304,100,-155.18992106164214,-0.8510798,-155.18992106164214
-0.22845462,93616,0.01,66.86857142857143,1400,14,0.01,-110.1387042290491,0.01,0.2904611,-0.3592637,-1.1307356,0.01,0.31926757,0.44691652,0.01,-156.45081776676327,21,1.7356458533476047,100,-155.52270965449404,-0.84949714,-155.52270965449404
-0.23016024,100089,0.01,66.726,1500,15,0.01,-110.1387042290491,0.01,0.08277181,-0.3617746,-1.1140581,0.01,0.31636295,0.119750954,0.01,-156.26321697055644,21,1.400955907510603,100,-153.6368058236608,-0.85102123,-153.6368058236608
-0.23061264,106671,0.01,66.669375,1600,16,0.01,-110.1387042290491,0.01,0.1713704,-0.3611472,-1.1432567,0.01,0.31597486,0.29270688,0.01,-156.2282853130517,21,1.0441591565497002,100,-155.70431045048073,-0.8501935,-155.70431045048073
-0.23203036,113407,0.01,66.71,1700,17,0.01,-110.1387042290491,0.01,0.27846584,-0.362614,-1.0894696,0.01,0.31476265,0.37645128,0.01,-156.25271553445998,21,1.6405502377421712,100,-156.6435990769924,-0.8484798,-156.6435990769924
-0.2292457,119980,0.01,66.65555555555555,1800,18,0.01,-110.1387042290491,0.01,0.2466634,-0.363589,-1.0933983,0.01,0.31416374,0.25698844,0.01,-156.18475156242164,21,0.9738288867319667,100,-155.02936403776968,-0.8462197,-155.02936403776968
-0.22908653,126629,0.01,66.64684210526316,1900,19,0.01,-110.1387042290491,0.01,0.25299928,-0.36112237,-1.1042337,0.01,0.3146288,0.27986008,0.01,-156.20126411570644,21,1.0552411982057692,100,-156.49849007483263,-0.84674734,-156.49849007483263
-0.23161653,133170,0.01,66.585,2000,20,0.01,-110.1387042290491,0.01,0.2187357,-0.3603102,-1.1211936,0.01,0.31389937,0.29352227,0.01,-156.14419962697934,21,1.2509226785772887,100,-155.05997434116435,-0.84625787,-155.05997434116435
-0.23095112,139679,0.01,66.51380952380953,2100,21,0.01,-110.1387042290491,0.01,0.10474463,-0.36249757,-1.0976541,0.01,0.3132307,0.1636495,0.01,-156.0967970401771,21,1.0373506189044486,100,-155.14874530413286,-0.8479728,-155.14874530413286
-0.23174495,146224,0.01,66.46545454545455,2200,22,0.01,-110.1387042290491,0.01,0.22297691,-0.36155936,-1.1014811,0.01,0.31296507,0.3061442,0.01,-156.04715515683526,21,1.232734891108869,100,-155.00467560665732,-0.8469254,-155.00467560665732
-0.23279081,152808,0.01,66.43826086956521,2300,23,0.01,-110.1387042290491,0.01,0.19860901,-0.3608324,-1.1081572,0.01,0.31519485,0.28470343,0.01,-155.9558634433157,21,1.2863691565203177,100,-153.94744574588466,-0.8452586,-153.94744574588466
-0.23222177,159324,0.01,66.385,2400,24,0.01,-110.1387042290491,0.01,0.12675712,-0.36123013,-1.100894,0.01,0.31711292,0.16037953,0.01,-155.9264616301166,21,0.8783456872716456,100,-155.25021992653694,-0.8432725,-155.25021992653694
-0.23316117,165932,0.01,66.3728,2500,25,0.01,-110.1387042290491,0.01,0.44099596,-0.36143222,-1.1382989,0.01,0.31690767,0.50091505,0.01,-155.9423427727857,21,1.31254125549771,100,-156.3234901968453,-0.84454006,-156.3234901968453
-0.23097898,172516,0.01,66.35230769230769,2600,26,0.01,-110.1387042290491,0.01,0.10541985,-0.35702226,-1.1210161,0.01,0.3159853,0.13126165,0.01,-155.94970703408245,21,1.5649766461477321,100,-156.13381356650015,-0.8447165,-156.13381356650015
-0.22992478,179118,0.01,66.34,2700,27,0.01,-110.1387042290491,0.01,0.32931584,-0.35727817,-1.1042254,0.01,0.31639615,0.37370887,0.01,-155.93523625764655,21,1.4952421858900293,100,-155.55899607031304,-0.8441022,-155.55899607031304
-0.23140833,185746,0.01,66.33785714285715,2800,28,0.01,-110.1387042290491,0.01,0.13074596,-0.35799775,-1.1406132,0.01,0.3196893,0.17659093,0.01,-155.96057816553912,21,1.32050325770477,100,-156.64480967863844,-0.84473646,-156.64480967863844
-0.23036654,192132,0.01,66.25241379310344,2900,29,0.01,-110.1387042290491,0.01,0.27547097,-0.3583801,-1.1107186,0.01,0.31838185,0.3729583,0.01,-155.8828544792608,21,1.0846832217746292,100,-153.70659126346797,-0.8443152,-153.70659126346797
-0.2303783,198755,0.01,66.25166666666667,3000,30,0.01,-110.1387042290491,0.01,0.2576513,-0.35595724,-1.0890448,0.01,0.31562713,0.38287562,0.01,-155.8861542095113,21,1.3501325819052934,100,-155.98184638677617,-0.8449867,-155.98184638677617
-0.23077688,205529,0.01,66.29967741935484,3100,31,0.01,-110.1387042290491,0.01,0.120460205,-0.35338074,-1.1281681,0.01,0.3131024,0.19806287,0.01,-155.90865586342827,21,1.5585607680820792,100,-156.58370548093725,-0.8462064,-156.58370548093725
-0.23194507,212544,0.01,66.42,3200,32,0.01,-110.1387042290491,0.01,0.4082055,-0.35424015,-1.1333257,0.01,0.31189778,0.53049177,0.01,-156.011134118863,21,1.649398839041055,100,-159.18796003734022,-0.84559935,-159.18796003734022
-0.23177925,219286,0.01,66.45030303030303,3300,33,0.01,-110.1387042290491,0.01,0.1806628,-0.3551117,-1.1436043,0.01,0.31597984,0.21436296,0.01,-156.02160322876097,21,1.4413024617549672,100,-156.35661474549502,-0.8423295,-156.35661474549502
-0.23358588,226005,0.01,66.47205882352941,3400,34,0.01,-110.1387042290491,0.01,0.21264412,-0.3541732,-1.1174148,0.01,0.31542224,0.30818367,0.01,-156.04468515817044,21,1.106769553743915,100,-156.8063888286835,-0.84270316,-156.8063888286835
-0.23263626,232839,0.01,66.52542857142858,3500,35,0.01,-110.1387042290491,0.01,0.2651673,-0.35287207,-1.1354553,0.01,0.3175487,0.27513716,0.01,-156.11355418568084,21,1.858449220126852,100,-158.45510112103383,-0.84424627,-158.45510112103383
-0.23319827,239904,0.01,66.64,3600,36,0.01,-110.1387042290491,0.01,0.34418562,-0.35296187,-1.1214728,0.01,0.31801212,0.45223635,0.01,-156.22970002806602,21,1.8206867248724163,100,-160.29480451154745,-0.8415946,-160.29480451154745
-0.23305458,246726,0.01,66.6827027027027,3700,37,0.01,-110.1387042290491,0.01,0.22683276,-0.35589164,-1.1065545,0.01,0.321454,0.32581693,0.01,-156.2394298528508,21,1.509227294099139,100,-156.58970354510183,-0.8415613,-156.58970354510183
-0.23517269,253413,0.01,66.68763157894738,3800,38,0.01,-110.1387042290491,0.01,0.37045112,-0.35676768,-1.0665293,0.01,0.3237223,0.4254458,0.01,-156.23722018127563,21,1.3671897471405778,100,-156.15546233299517,-0.84109604,-156.15546233299517
-0.23584348,259965,0.01,66.6576923076923,3900,39,0.01,-110.1387042290491,0.01,0.1753726,-0.3548947,-1.1194805,0.01,0.32436955,0.24110624,0.01,-156.2653444371319,21,1.975998037450113,100,-157.33406615967007,-0.84480053,-157.33406615967007
-0.23618288,266730,0.01,66.6825,4000,40,0.01,-110.1387042290491,0.01,0.07887928,-0.35632694,-1.1131288,0.01,0.32361376,0.09399532,0.01,-156.30317757995024,21,2.1184934627935603,100,-157.77867014986734,-0.8465543,-157.77867014986734
-0.23644663,273577,0.01,66.7260975609756,4100,41,0.01,-110.1387042290491,0.01,0.21499841,-0.3566832,-1.088428,0.01,0.32335913,0.28057227,0.01,-156.37224388424505,21,2.0133264062956204,100,-159.13489605603735,-0.8473431,-159.13489605603735
-0.23812476,280316,0.01,66.74190476190476,4200,42,0.01,-110.1387042290491,0.01,0.3271888,-0.35453323,-1.0963731,0.01,0.3234388,0.37287095,0.01,-156.3710254714625,21,1.8036916472471747,100,-156.32107054737654,-0.84668946,-156.32107054737654
-0.2396154,287151,0.01,66.7793023255814,4300,43,0.01,-110.1387042290491,0.01,0.15578455,-0.3578051,-1.0812027,0.01,0.32280466,0.22373568,0.01,-156.4157186447966,21,1.7214763448874124,100,-158.29283192482876,-0.8459319,-158.29283192482876
-0.23921739,293942,0.01,66.805,4400,44,0.01,-110.1387042290491,0.01,0.21358147,-0.35640043,-1.1083908,0.01,0.32347348,0.23320317,0.01,-156.43312594231924,21,1.2915658234161023,100,-157.1816397357942,-0.84437406,-157.1816397357942
-0.23916548,300780,0.01,66.84,4500,45,0.01,-110.1387042290491,0.01,0.24729583,-0.35578474,-1.1591913,0.01,0.32276997,0.26694962,0.01,-156.46732521534065,21,1.6516984019310932,100,-157.97209322828226,-0.84223825,-157.97209322828226
-0.23836759,307534,0.01,66.85521739130435,4600,46,0.01,-110.1387042290491,0.01,0.18978739,-0.3582577,-1.1147821,0.01,0.3232311,0.23021619,0.01,-156.49756446483536,21,1.0853644465125467,100,-157.85833069209752,-0.84264,-157.85833069209752
-0.23854728,314293,0.01,66.87085106382979,4700,47,0.01,-110.1387042290491,0.01,0.23245889,-0.35635984,-1.148828,0.01,0.3241508,0.3083938,0.01,-156.50496481061012,21,1.638842515430241,100,-156.84538071624695,-0.8435455,-156.84538071624695
-0.23711757,320896,0.01,66.85333333333334,4800,48,0.01,-110.1387042290491,0.01,0.18585087,-0.35772857,-1.0743277,0.01,0.32371548,0.21039611,0.01,-156.47516545859096,21,1.1733783509552174,100,-155.07459591369204,-0.8412209,-155.07459591369204
-0.23784335,327556,0.01,66.84816326530613,4900,49,0.01,-110.1387042290491,0.01,0.16664837,-0.35835636,-1.1023617,0.01,0.32348806,0.25621954,0.01,-156.46519032261028,21,1.3728120201922118,100,-155.9863837955373,-0.8393624,-155.9863837955373
-0.23928733,334159,0.01,66.8318,5000,50,0.01,-110.1387042290491,0.01,0.21859719,-0.359538,-1.1239967,0.01,0.3240415,0.3574333,0.01,-156.4363231370894,21,1.5305538651018378,100,-155.02183104656658,-0.8376959,-155.02183104656658
