StepSize,ReturnMean,J,MountainCar_mu1_higher,TimestepsSoFar,AvgRet,Iteration,ActionIn1,NumTrajectories,ReturnMax,AvgEpLen,MountainCar_std1_higher,NatGrad2Norm,NatGradInftyNorm,MountainCar_mu0_higher,BatchSize,MinEpLen,VarJ,MountainCar_std0_higher
0.1,-0.6828887434751951,-0.6828887434751951,0.9164054,99900,-7.277001327402595,1,0.8603903,100,-0.05460916047047352,999.0,1.5,0.08537567,0.0850155,0.40025148,100,999,0.0028128427766349385,0.14999999
0.1,-0.6382215902972755,-0.5935544371193561,0.915622,199800,-6.52243965487782,2,4.8420305,200,-9.850504357630357e-05,999.0,1.5,0.251165,0.24228501,0.39174992,100,999,0.002740195324795049,0.14999999
0.1,-0.6574864821383424,-0.6960162658204765,0.8913935,299700,-7.508046206568331,3,-3.5060868,300,-9.850504357630357e-05,999.0,1.5,0.18050997,0.14477922,0.38513038,100,999,0.0036911603748984757,0.14999999
0.1,-0.6306250352456889,-0.5500406945677281,0.8769156,399600,-5.835049429536887,4,2.7700338,400,-9.850504357630357e-05,999.0,1.5,0.10682291,0.08552054,0.37434945,100,999,0.002403985276770725,0.14999999
0.1,-0.6134017144187489,-0.5445084311109888,0.88546765,499500,-5.820327517620151,5,0.8643137,500,-9.850504357630357e-05,999.0,1.5,0.06423548,0.064206965,0.36794838,100,999,0.002116050382668808,0.14999999
0.1,-0.6009457664852321,-0.5386660268176482,0.88565904,599400,-5.6284691501569055,6,0.39012545,600,-9.850504357630357e-05,999.0,1.5,0.092520766,0.07208239,0.36152768,100,999,0.00243715402990923,0.14999999
0.1,-0.5915637701103807,-0.5352717918612728,0.8914592,699300,-5.61179537508337,7,2.4696918,700,-9.850504357630357e-05,999.0,1.5,0.061046604,0.05810688,0.35431945,100,999,0.0014882392985938646,0.14999999
0.1,-0.5736781227958963,-0.4484785915945051,0.88958764,799200,-4.879379585138061,8,1.7528447,800,-9.850504357630357e-05,999.0,1.5,0.17778537,0.17282192,0.34850878,100,999,0.001468009496490617,0.14999999
0.1,-0.5592290844524479,-0.44363677770486054,0.87230545,899100,-4.703481718097337,9,-0.19325075,900,-9.850504357630357e-05,999.0,1.5,0.07063886,0.056423787,0.3443372,100,999,0.0012661989016916494,0.14999999
0.1,-0.5496601848927193,-0.4635400888551617,0.8779478,999000,-4.90692600491597,10,0.5911938,1000,-9.850504357630357e-05,999.0,1.5,0.062051825,0.050835148,0.34008723,100,999,0.0015139489613864424,0.14999999
0.1,-0.5438172674898104,-0.4853880934607209,0.8815062,1098900,-5.180404433841099,11,-0.2070517,1100,-9.850504357630357e-05,999.0,1.5,0.12127175,0.105467595,0.33500373,100,999,0.0016193640134039133,0.14999999
0.1,-0.538002118275478,-0.4740354769178227,0.87095946,1198800,-5.087204875682191,12,0.8080609,1200,-9.850504357630357e-05,999.0,1.5,0.27495232,0.26533827,0.32901755,100,999,0.0023436102100310788,0.14999999
0.1,-0.5271530816956704,-0.3969646427379796,0.8444256,1298700,-4.177175229290346,13,3.1593268,1300,-9.850504357630357e-05,999.0,1.5,0.098236896,0.08611073,0.32181033,100,999,0.001408135767668833,0.14999999
0.1,-0.5214280168576694,-0.44700217396365494,0.83581454,1398600,-4.875961366642461,14,1.6169674,1400,-9.850504357630357e-05,999.0,1.5,0.10927132,0.08009649,0.31708232,100,999,0.0023961816102335844,0.14999999
0.1,-0.5118992020133571,-0.3784957941929865,0.82780486,1498500,-4.107489526338379,15,3.234107,1500,-2.4856728106499504e-05,999.0,1.5,0.09910674,0.085882306,0.30964944,100,999,0.0015011373629875797,0.14999999
0.1,-0.5030153424286116,-0.3697574486574274,0.8192166,1598400,-3.893937285268941,16,2.9733305,1600,-1.8604023083649518e-05,999.0,1.5,0.053160753,0.04094591,0.30470335,100,999,0.0010009796390608287,0.14999999
0.1,-0.49438011334934456,-0.3562164480810733,0.8158262,1698300,-3.7891704562582897,17,3.8666234,1700,-1.8604023083649518e-05,999.0,1.5,0.07417249,0.059666652,0.30060875,100,999,0.001184672293095404,0.14999999
0.1,-0.48592622125488305,-0.34221005564903756,0.82179284,1798200,-3.595689601263613,18,0.91688144,1800,-1.5449134901622816e-06,999.0,1.5,0.041960068,0.038061924,0.29620257,100,999,0.0009391139454725088,0.14999999
0.1,-0.4798647946820464,-0.3707591163709876,0.8200267,1898100,-3.900516694356988,19,1.3884537,1900,-1.5449134901622816e-06,999.0,1.5,0.062042855,0.052195102,0.29239637,100,999,0.0013274676284824563,0.14999999
0.1,-0.47525202922249765,-0.38760948549107,0.8166726,1998000,-4.127572821442132,20,0.71697617,2000,-1.5449134901622816e-06,999.0,1.5,0.10275839,0.0864434,0.28717685,100,999,0.0012434320031570033,0.14999999
0.1,-0.46807361849345097,-0.3245054039125172,0.8080283,2097900,-3.3779990713509083,21,2.4468694,2100,-1.5449134901622816e-06,999.0,1.5,0.039856303,0.036150843,0.28162092,100,999,0.0007801867802758233,0.14999999
0.1,-0.4608615781702269,-0.30940873138252045,0.8097065,2197800,-3.303312815465479,22,0.09113622,2200,-1.5449134901622816e-06,999.0,1.5,0.12760955,0.12280467,0.27800584,100,999,0.0008639197049852019,0.14999999
0.1,-0.4563046597938303,-0.35605245551310555,0.79742604,2297700,-3.763668955367682,23,0.29100364,2300,-1.5449134901622816e-06,999.0,1.5,0.062879615,0.055519413,0.27453712,100,999,0.0013226087246270121,0.14999999
0.1,-0.4504824223732625,-0.3165709617002056,0.8003781,2397600,-3.3727602044258536,24,2.7016234,2400,-1.5449134901622816e-06,999.0,1.5,0.05792106,0.042454418,0.26898518,100,999,0.0009506624761903923,0.14999999
0.1,-0.4428638047617374,-0.2600169820851349,0.7964379,2497500,-2.716312813161319,25,3.1158469,2500,-1.5449134901622816e-06,999.0,1.5,0.038487684,0.029412892,0.26473975,100,999,0.0005650327181264508,0.14999999
0.1,-0.4374822114058932,-0.3029423775097861,0.7993792,2597400,-3.272801133287948,26,1.2643663,2600,-1.5449134901622816e-06,999.0,1.5,0.057308823,0.04910696,0.26225746,100,999,0.0012840159295983142,0.14999999
0.1,-0.4327569692363041,-0.30990067282698885,0.7964249,2697300,-3.2368205865086486,27,0.80114543,2700,-1.5449134901622816e-06,999.0,1.5,0.05256199,0.04275223,0.25734675,100,999,0.0008951984589908256,0.14999999
0.1,-0.4280150769892708,-0.2999839863193709,0.7994827,2797200,-3.1518184268526026,28,-0.017007828,2800,-1.5449134901622816e-06,999.0,1.5,0.046363927,0.04151076,0.25307152,100,999,0.0009695829231157996,0.14999999
0.1,-0.4234655730354074,-0.2960794623272325,0.7974176,2897100,-3.137837319608083,29,0.24271145,2900,-1.5449134901622816e-06,999.0,1.5,0.05708068,0.047031064,0.24892044,100,999,0.0011180852518516888,0.14999999
0.1,-0.4172680325755595,-0.2375393592399692,0.79418296,2997000,-2.514161910796759,30,2.1931305,3000,-1.5449134901622816e-06,999.0,1.5,0.077338874,0.071385324,0.24421734,100,999,0.0006289571388745379,0.14999999
0.1,-0.4133411974825461,-0.29553614469214545,0.7870444,3096900,-3.1827057898640247,31,-1.8910912,3100,-1.5449134901622816e-06,999.0,1.5,0.10807875,0.099831745,0.24124171,100,999,0.0007091564283026759,0.14999999
0.1,-0.4094643842785206,-0.2892831749537283,0.7770612,3196800,-3.0491170717056373,32,-0.93088984,3200,-1.5449134901622816e-06,999.0,1.5,0.053935885,0.05090738,0.23710088,100,999,0.001096842454355786,0.14999999
0.1,-0.4048699510698125,-0.25784808839115475,0.77527934,3296700,-2.675506620647868,33,1.9171405,3300,-1.5449134901622816e-06,999.0,1.5,0.053982195,0.040411077,0.23201014,100,999,0.0008360301460709431,0.14999999
0.1,-0.3995648519217281,-0.2244965800349417,0.7788585,3396600,-2.4116896051933927,34,0.09768526,3400,-1.5449134901622816e-06,999.0,1.5,0.042127065,0.029800719,0.22796904,100,999,0.0006011409977621159,0.14999999
0.1,-0.3938988906492397,-0.20125620738463657,0.78183854,3496500,-2.0551320931207013,35,0.25280696,3500,-1.5449134901622816e-06,999.0,1.5,0.14900158,0.14649653,0.22499144,100,999,0.0005968844295784894,0.14999999
0.1,-0.389262042517144,-0.22697235789379527,0.79648817,3596400,-2.382170069902564,36,1.0587461,3600,-1.5449134901622816e-06,999.0,1.5,0.039411474,0.03530309,0.22227071,100,999,0.0007106306586846764,0.14999999
0.1,-0.38560759497343694,-0.2540474833999814,0.7982402,3696300,-2.767439181469034,37,2.3303838,3700,-1.5449134901622816e-06,999.0,1.5,0.10168809,0.09466017,0.2187404,100,999,0.0006204039920247949,0.14999999
0.1,-0.38064822520220715,-0.19715154366670518,0.7887742,3796200,-2.124536681985405,38,2.008769,3800,-1.5449134901622816e-06,999.0,1.5,0.057176992,0.05219602,0.21502568,100,999,0.00041092666952779376,0.14999999
0.1,-0.3756334264900825,-0.18507107542934553,0.7835546,3896100,-1.9415995406835487,39,2.3076305,3900,-1.5449134901622816e-06,999.0,1.5,0.028139906,0.020975223,0.21269162,100,999,0.00043880867716106724,0.14999999
0.1,-0.37130978514919205,-0.2026877728544642,0.7854305,3996000,-2.1497736230559195,40,1.1342486,4000,-1.5449134901622816e-06,999.0,1.5,0.028009659,0.027432343,0.2105941,100,999,0.0004999945731254136,0.14999999
0.1,-0.36703293031448014,-0.1959587369260035,0.78599626,4095900,-2.1149877186484485,41,0.7292567,4100,-1.5449134901622816e-06,999.0,1.5,0.0313251,0.028489782,0.20785087,100,999,0.0006140189162671944,0.14999999
0.1,-0.3621818428776596,-0.1632872579680176,0.78729856,4195800,-1.7525686204970818,42,0.057836294,4200,-1.5449134901622816e-06,999.0,1.5,0.023170128,0.021418728,0.20500189,100,999,0.0004547263178887157,0.14999999
0.1,-0.3588298155138684,-0.21804466623463925,0.78641486,4295700,-2.370818446044937,43,-1.8350005,4300,-1.5449134901622816e-06,999.0,1.5,0.15836905,0.1546265,0.20286001,100,999,0.0006312337693517346,0.14999999
0.1,-0.3550798887295578,-0.19383303700419938,0.7709522,4395600,-2.1348665147377757,44,0.85735995,4400,-1.5449134901622816e-06,999.0,1.5,0.08955764,0.08279615,0.19943744,100,999,0.0007350870829297513,0.14999999
0.1,-0.35208248957570476,-0.22019692680617184,0.7626726,4495500,-2.302387511147069,45,-1.0741298,4500,-1.5449134901622816e-06,999.0,1.5,0.05109395,0.03638671,0.19602369,100,999,0.0006259465644088288,0.14999999
0.1,-0.3475703026937579,-0.14452189300614884,0.76625955,4595103,-0.5537163649571137,46,1.226004,4600,0.04172400727311855,998.9354347826087,1.5,0.03357345,0.027838426,0.19238502,100,702,0.00041776491268492687,0.14999999
0.1,-0.34451879451789247,-0.20414941842808174,0.7634757,4694667,-1.1827806879349516,47,-1.1676782,4700,0.11768867375771327,998.8653191489361,1.5,0.0315469,0.030420648,0.19050832,100,663,0.0004710906813595206,0.14999999
0.1,-0.341343904205136,-0.19212405950558423,0.76431113,4794567,-2.0058711409046333,48,2.1342263,4800,0.11768867375771327,998.868125,1.5,0.026159683,0.025250385,0.18746625,100,663,0.0003926669040981335,0.14999999
0.1,-0.33788701649889924,-0.1719564065995349,0.7636274,4894467,-1.8293871076047412,49,-1.0097846,4900,0.11768867375771327,998.8708163265306,1.5,0.06512886,0.057041597,0.18494122,100,663,0.0007256943433502139,0.14999999
0.1,-0.33395769345819676,-0.14142086446377494,0.7693316,4994367,-1.5194740634327082,50,-2.5819907,5000,0.11768867375771327,998.8734,1.5,0.02431136,0.018087564,0.18179794,100,663,0.0003071663485158022,0.14999999
