ReturnMean,MountainCar_std0_higher,ReturnMax,BatchSize,TimestepsSoFar,MountainCar_mu1_higher,VarJ,MinEpLen,AvgRet,NatGrad2Norm,Iteration,NumTrajectories,MountainCar_mu0_higher,J,AvgEpLen,MountainCar_std1_higher,StepSize,ActionIn1,NatGradInftyNorm
3.3445961042274117,0.14999999,98.16498803872072,100,98088,-0.8971903,7.636932069388685,446,3.3445961042274117,47.275517,1,100,-0.4416444,3.3445961042274117,980.88,3.0,0.1,8.738399,47.26557
21.26814010825917,0.14999999,99.26807628314627,100,182638,3.829367,25.05801426784547,335,39.19168411229093,109.86269,2,200,-0.344671,39.19168411229093,913.19,3.0,0.1,4.396732,109.86219
45.597739996938365,0.14999999,99.26807628314627,100,213792,14.815586,0.949066823632122,152,94.25693977429671,6.734515,3,300,-0.31138206,94.25693977429671,712.64,3.0,0.1,14.243736,6.5611
57.815567570688934,0.14999999,99.26807628314627,100,241983,15.471696,0.04129288580778062,150,94.46905029194066,24.950031,4,400,-0.46322602,94.46905029194066,604.9575,3.0,0.1,20.890749,24.857632
65.1962849111986,0.14999999,99.26807628314627,100,269345,17.957458,0.05223781302402702,146,94.71915427323724,55.35825,5,500,-0.24869922,94.71915427323724,538.69,3.0,0.1,13.091297,55.346703
69.81659072714199,0.14999999,99.26807628314627,100,308403,12.422789,2.8433489067579694,146,92.9181198068589,31.024448,6,600,-0.3617547,92.9181198068589,514.005,3.0,0.1,10.434834,30.950584
72.21989221755142,0.14999999,99.29614655303817,100,363359,9.32773,9.81513566934361,146,86.63970116000806,13.468983,7,700,-0.14779845,86.63970116000806,519.0842857142857,3.0,0.1,8.732739,13.388167
73.3985634437459,0.14999999,99.29614655303817,100,423185,7.9889135,12.987027723056537,146,81.64926202710726,46.714565,8,800,-0.29512346,81.64926202710726,528.98125,3.0,0.1,9.356936,46.71236
75.82691904927404,0.14999999,99.29614655303817,100,457480,12.66015,0.9888581566274142,146,95.25376389349921,35.86436,9,900,-0.24974304,95.25376389349921,508.31111111111113,3.0,0.1,14.13883,35.86155
77.7231002137927,0.14999999,99.29614655303817,100,484983,16.246304,0.03849806621447147,120,94.7887306944606,16.872084,10,1000,-0.29465216,94.7887306944606,484.983,3.0,0.1,14.582661,16.865124
79.23496228064022,0.14999999,99.29614655303817,100,510740,17.932816,0.03767735986098361,120,94.35358294911545,3.6059318,11,1100,-0.3431058,94.35358294911545,464.3090909090909,3.0,0.1,19.593119,3.5975742
80.47847540957822,0.14999999,99.29614655303817,100,537003,17.57306,0.05976244263347375,120,94.15711982789615,1.1493021,12,1200,-0.36764246,94.15711982789615,447.5025,3.0,0.1,16.490355,1.0854862
81.52949118673394,0.14999999,99.29614655303817,100,562992,17.46451,0.05196651965655867,116,94.14168051260255,4.42363,13,1300,-0.4054069,94.14168051260255,433.07076923076926,3.0,0.1,15.252633,3.4096498
82.51381652209429,0.14999999,99.29614655303817,100,587511,17.805475,0.04064758464013295,116,95.31004588177892,30.944105,14,1400,-0.1235773,95.31004588177892,419.6507142857143,3.0,0.1,16.062487,30.908537
83.26851493832265,0.14999999,99.29614655303817,100,610449,20.896328,0.0659285697736154,116,93.83429276551989,67.85157,15,1500,-0.27189887,93.83429276551989,406.966,3.0,0.1,18.755634,67.82158
84.11008993350016,0.14999999,99.29614655303817,100,643140,14.11417,0.019731506390125303,116,96.73371486116292,24.166588,16,1600,-0.0701884,96.73371486116292,401.9625,3.0,0.1,13.7724085,24.11053
84.66854995782018,0.14999999,99.29614655303817,100,683428,11.703117,2.8665317632217606,116,93.60391034694048,5.4746523,17,1700,-0.23469535,93.60391034694048,402.0164705882353,3.0,0.1,9.713124,5.0534267
85.12612129829628,0.14999999,99.29614655303817,100,723344,11.197775,2.1333917762349994,116,92.90483408638971,58.87909,18,1800,-0.44528252,92.90483408638971,401.85777777777776,3.0,0.1,10.754259,58.865395
85.53760915870383,0.14999999,99.29614655303817,100,749698,17.084314,0.06912301809233876,116,92.94439064603998,9.290694,19,1900,-0.57226485,92.94439064603998,394.5778947368421,3.0,0.1,16.740013,9.28917
85.88541781165667,0.14999999,99.29614655303817,100,775977,18.013231,0.07206146861449512,111,92.4937822177602,5.7575336,20,2000,-0.5890912,92.4937822177602,387.9885,3.0,0.1,16.228464,5.6426096
86.19451424710923,0.14999999,99.29614655303817,100,799181,17.44897,0.08875098973957313,109,92.37644295616047,13.673887,21,2100,-0.70355296,92.37644295616047,380.562380952381,3.0,0.1,16.788733,13.671422
86.45530720069905,0.14999999,99.29614655303817,100,826725,16.08183,0.07881670047133832,109,91.9319592260855,11.001909,22,2200,-0.7295178,91.9319592260855,375.78409090909093,3.0,0.1,13.900234,10.79766
86.75820671884989,0.14999999,99.29614655303817,100,852195,17.161594,0.05364551305906404,109,93.42199611816834,19.985535,23,2300,-0.51850706,93.42199611816834,370.5195652173913,3.0,0.1,16.05643,19.913805
86.95921713697784,0.14999999,99.29614655303817,100,876893,19.152975,0.10524223196626893,109,91.58245675392048,23.312986,24,2400,-0.6876817,91.58245675392048,365.3720833333333,3.0,0.1,18.697083,23.276293
87.20700384323953,0.14999999,99.29614655303817,100,904691,16.825346,0.05776717820430741,109,93.15388479352038,6.2746797,25,2500,-0.556935,93.15388479352038,361.8764,3.0,0.1,13.109269,6.2027373
87.46079268899872,0.14999999,99.29614655303817,100,930036,17.44562,0.06623662310515187,109,93.80551383297838,21.335114,26,2600,-0.4621904,93.80551383297838,357.7061538461538,3.0,0.1,17.825592,21.335096
87.67172748423027,0.14999999,99.29614655303817,100,952732,19.579128,0.06637464106693426,109,93.15603216025069,14.468329,27,2700,-0.46486562,93.15603216025069,352.8637037037037,3.0,0.1,18.204466,14.437463
87.85626233094216,0.14999999,99.29614655303817,100,978785,18.135382,0.07132262882747889,109,92.83870319216332,13.603874,28,2800,-0.5593234,92.83870319216332,349.56607142857143,3.0,0.1,17.194456,13.555885
87.99109199385128,0.14999999,99.29614655303817,100,1001763,19.49097,0.07480984242760755,109,91.76632255530667,2.270585,29,2900,-0.673489,91.76632255530667,345.43551724137933,3.0,0.1,17.814644,2.2289379
88.10928585721153,0.14999999,99.29614655303817,100,1024194,19.713865,0.11710655708740289,109,91.53690789465848,40.433792,30,3000,-0.6302001,91.53690789465848,341.398,3.0,0.1,21.42394,40.43242
88.16392579361067,0.14999999,99.29614655303817,100,1042922,23.757107,0.1685880778718329,109,89.80312388558539,2.7420835,31,3100,-0.6635301,89.80312388558539,336.42645161290324,3.0,0.1,22.841593,2.178353
88.17408237398764,0.14999999,99.29614655303817,100,1062621,23.974941,0.2314852313645937,108,88.48893636567344,12.425529,32,3200,-0.8300774,88.48893636567344,332.0690625,3.0,0.1,20.894363,12.382117
88.24054325845604,0.14999999,99.29614655303817,100,1082991,22.736729,0.18084452108359886,108,90.36729156144501,7.532668,33,3300,-0.72630286,90.36729156144501,328.1790909090909,3.0,0.1,21.44534,7.4637713
88.29253806029536,0.14999999,99.29614655303817,100,1104608,21.99035,0.13852642633431053,107,90.00836652099296,23.664228,34,3400,-0.8279496,90.00836652099296,324.88470588235293,3.0,0.1,25.066523,23.584793
88.38916689166548,0.14999999,99.29614655303817,100,1127720,19.631872,0.08128503936047571,107,91.67454715824924,8.856267,35,3500,-0.6342174,91.67454715824924,322.2057142857143,3.0,0.1,14.365074,8.824031
88.46887168458946,0.14999999,99.29614655303817,100,1152756,18.74947,0.13745180014686767,107,91.25853943692852,33.02175,36,3600,-0.70971245,91.25853943692852,320.21,3.0,0.1,19.524366,33.021194
88.53292182403789,0.14999999,99.29614655303817,100,1183756,15.4473505,1.286449215636762,107,90.8387268441813,23.628593,37,3700,-0.7289191,90.8387268441813,319.93405405405406,3.0,0.1,15.057909,23.366451
88.66891651736573,0.14999999,99.29614655303817,100,1209452,17.783997,0.07253172233960387,107,93.70072017049625,32.937656,38,3800,-0.37792918,93.70072017049625,318.27684210526314,3.0,0.1,12.907517,32.93728
88.77150205055027,0.14999999,99.29614655303817,100,1233649,21.077724,0.08668376926066079,107,92.66975231156219,58.51784,39,3900,-0.36217412,92.66975231156219,316.32025641025643,3.0,0.1,18.427702,58.480656
88.88459775114744,0.14999999,99.29614655303817,100,1263084,15.229658,0.057121796303715514,107,93.29533007443726,10.060533,40,4000,-0.5707519,93.29533007443726,315.771,3.0,0.1,11.91079,9.890916
88.96720099660466,0.14999999,99.29614655303817,100,1293618,14.240566,0.07361975823589036,107,92.27133081489382,9.513473,41,4100,-0.7547115,92.27133081489382,315.51658536585364,3.0,0.1,14.524346,9.425084
89.004901045313,0.14999999,99.29614655303817,100,1327724,13.298058,0.1281169537217904,107,90.5506030423553,40.64496,42,4200,-0.8840928,90.5506030423553,316.1247619047619,3.0,0.1,13.268336,40.60221
88.99394532513729,0.14999999,99.29614655303817,100,1374328,9.237837,4.080866612614507,107,88.5338050777572,50.765152,43,4300,-0.69773096,88.5338050777572,319.6111627906977,3.0,0.1,9.305133,50.711872
89.12060605740042,0.14999999,99.29614655303817,100,1409968,14.309025,0.06683424615489987,107,94.56701754471518,81.45952,44,4400,-0.46520442,94.56701754471518,320.4472727272727,3.0,0.1,15.14144,81.45726
88.6285251232645,0.14999999,99.29614655303817,100,1478723,6.1632986,20.08194442869171,107,66.97696402128338,85.54315,45,4500,-0.5258929,66.97696402128338,328.6051111111111,3.0,0.1,1.4924492,85.54259
88.71866422200154,0.14999999,99.29614655303817,100,1512062,14.717558,1.124780107159805,107,92.77492366516806,53.71647,46,4600,-0.55691236,92.77492366516806,328.7091304347826,3.0,0.1,16.541067,53.662186
88.79838937623416,0.14999999,99.29614655303817,100,1562659,9.351339,3.8219819236762542,107,92.46574647093506,13.625813,47,4700,-0.31548178,92.46574647093506,332.48063829787236,3.0,0.1,3.2272847,13.620737
88.82306924829977,0.14999999,99.29614655303817,100,1611691,10.713413,5.905733818750289,107,89.98302323538384,14.340653,48,4800,-0.3526698,89.98302323538384,335.76895833333333,3.0,0.1,3.932593,14.331125
88.84951204408632,0.14999999,99.29614655303817,100,1659805,9.280301,5.85549121670286,107,90.11876624184065,48.042236,49,4900,-0.40493655,90.11876624184065,338.73571428571427,3.0,0.1,4.851771,48.00303
88.99866394936808,0.14999999,99.29614655303817,100,1692594,14.080605,0.020071102026909874,107,96.30710730817401,12.338489,50,5000,-0.2108869,96.30710730817401,338.5188,3.0,0.1,15.200846,12.280396
