NatGrad2Norm,ActionIn1,MountainCar_mu0_higher,BatchSize,Iteration,ReturnMean,MountainCar_mu1_higher,MinEpLen,MountainCar_std1_higher,AvgRet,NumTrajectories,J,StepSize,MountainCar_std0_higher,AvgEpLen,NatGradInftyNorm,TimestepsSoFar,ReturnMax,VarJ
60.527695,-1.4356786,-0.820599,100,1,-0.2350053328078783,0.57150435,250,3.0,-0.2350053328078783,100,-0.2350053328078783,0.1,0.14999999,942.98,60.526924,94298,97.11067514909502,12.354630011277008
80.61782,4.267303,-0.7900353,100,2,36.088058117855674,6.624197,182,3.0,72.41112156851922,200,72.41112156851922,0.1,0.14999999,790.92,80.58151,158184,97.11067514909502,15.99989671691207
13.576475,15.643391,-0.54811233,100,3,55.46590774389229,14.682348,181,3.0,94.22160699596556,300,94.22160699596556,0.1,0.14999999,622.8866666666667,13.511527,186866,97.25571064970138,0.043147106631871913
10.518989,19.042213,-0.41547364,100,4,65.24723829696374,16.0335,118,3.0,94.59122995617807,400,94.59122995617807,0.1,0.14999999,539.67,10.399844,215868,98.2211574184711,0.048126120042142714
4.196644,14.800475,-0.25760144,100,5,71.28932093228845,14.993516,118,3.0,95.45765147358738,500,95.45765147358738,0.1,0.14999999,494.074,4.124627,247037,98.2211574184711,0.03330135312250753
21.392412,12.953345,-0.18018895,100,6,75.4305201459883,14.581053,118,3.0,96.13651621448746,600,96.13651621448746,0.1,0.14999999,467.55333333333334,21.380455,280532,98.74709695177323,0.028879019475240023
69.54052,9.938203,-0.251702,100,7,77.97564803765991,12.443007,118,3.0,93.24641538768954,700,93.24641538768954,0.1,0.14999999,450.52714285714285,69.536514,315369,98.81209131573534,2.907917866013047
27.460709,17.35114,-0.3263787,100,8,79.95130927574492,19.39666,112,3.0,93.78093794234006,800,93.78093794234006,0.1,0.14999999,424.56375,27.459358,339651,98.81209131573534,0.052173157235589664
2.0926912,20.210203,-0.3536079,100,9,81.41827190863337,22.142595,111,3.0,93.15397297174111,900,93.15397297174111,0.1,0.14999999,400.5588888888889,2.0060976,360503,98.81209131573534,0.06799641000409952
57.16502,25.420874,-0.4131838,100,10,82.63223064246439,22.343204,111,3.0,93.55785924694347,1000,93.55785924694347,0.1,0.14999999,382.02,57.112442,382020,98.81209131573534,0.08300931564962821
88.81383,14.737322,-0.16805907,100,11,83.81291625172757,16.63196,111,3.0,95.61977234435935,1100,95.61977234435935,0.1,0.14999999,373.78818181818184,88.7929,411167,98.81209131573534,0.02772129972315142
27.38212,0.89135146,-0.3608642,100,12,83.50235839115338,7.7526693,111,3.0,80.08622192483725,1200,80.08622192483725,0.1,0.14999999,394.1175,27.376509,472941,98.81209131573534,13.733991034538464
53.104797,7.8267913,-0.4162943,100,13,84.41516746693702,10.49032,111,3.0,95.3688763763408,1300,95.3688763763408,0.1,0.14999999,395.8792307692308,53.103683,514643,98.81209131573534,0.03918329205306725
56.52888,19.574858,-0.38191685,100,14,85.13878172488484,15.800689,111,3.0,94.54576707820635,1400,94.54576707820635,0.1,0.14999999,387.80285714285714,56.506645,542924,98.81209131573534,0.052319347056964186
48.686573,21.03233,-0.2233801,100,15,85.70657430242858,21.451353,111,3.0,93.65567038804093,1500,93.65567038804093,0.1,0.14999999,377.46933333333334,48.626595,566204,98.81209131573534,0.07384182975047905
11.661826,14.294629,0.018218815,100,16,86.32237957311808,16.588694,111,3.0,95.55945863346084,1600,95.55945863346084,0.1,0.14999999,371.81125,11.628677,594898,98.95746340757239,0.03783798540757281
23.409147,19.50847,0.10608529,100,17,86.83952611429851,17.751562,111,3.0,95.11387077318543,1700,95.11387077318543,0.1,0.14999999,364.9117647058824,23.32158,620350,98.95746340757239,0.05030266554597036
30.019327,21.08425,-0.096203364,100,18,87.26135239065631,20.083721,111,3.0,94.43239908873876,1800,94.43239908873876,0.1,0.14999999,358.0711111111111,30.014769,644528,98.95746340757239,0.04978022262085981
2.5184288,12.366695,-0.1485208,100,19,87.69200609968534,17.082245,111,3.0,95.44377286220794,1900,95.44377286220794,0.1,0.14999999,353.8668421052632,2.4456804,672347,98.95746340757239,0.0389937427174618
37.109547,15.774451,-0.20861498,100,20,88.06685255611578,16.837677,111,3.0,95.18893522829396,2000,95.18893522829396,0.1,0.14999999,350.3925,37.103386,700785,98.95746340757239,0.03020394911506699
9.863147,10.627389,-0.14099881,100,21,88.48105495939694,13.127338,111,3.0,96.76510302502032,2100,96.76510302502032,0.1,0.14999999,350.05095238095237,9.80432,735107,98.95746340757239,0.01921208339250261
27.303308,10.998014,-0.03343597,100,22,88.76064552529567,14.107771,111,3.0,94.63204740916898,2200,94.63204740916898,0.1,0.14999999,349.855,27.296339,769681,99.41790602234668,2.0613127545682697
34.457623,10.0062275,0.028245907,100,23,88.81407698908853,11.378137,111,3.0,89.98956919253175,2300,89.98956919253175,0.1,0.14999999,353.22391304347826,34.342735,812415,99.41790602234668,7.42619488331091
1.8793373,17.688892,-0.2528986,100,24,89.10638683345898,14.81241,111,3.0,95.82951325397913,2400,95.82951325397913,0.1,0.14999999,350.79375,1.7339135,841905,99.41790602234668,0.03492065512785374
20.989544,14.227216,-0.07950725,100,25,89.40025837689231,14.884898,111,3.0,96.45317541929244,2500,96.45317541929244,0.1,0.14999999,348.9304,20.989525,872326,99.41790602234668,0.026165812761894516
18.33022,8.366686,-0.07668359,100,26,89.64890575116053,12.785946,111,3.0,95.86509010786551,2600,95.86509010786551,0.1,0.14999999,349.3430769230769,18.327646,908292,99.41790602234668,0.9718033144588931
14.856241,17.94361,-0.1073986,100,27,89.84974260753113,14.6187105,111,3.0,95.07150087316673,2700,95.07150087316673,0.1,0.14999999,347.9648148148148,14.636228,939505,99.41790602234668,1.031795369696618
10.5838,11.700733,-0.36212862,100,28,90.0296616664773,16.082333,111,3.0,94.88747625802391,2800,94.88747625802391,0.1,0.14999999,345.90714285714284,10.311348,968540,99.41790602234668,0.04197510113488335
12.704183,17.686665,-0.12352981,100,29,90.21672258260448,17.113468,111,3.0,95.45442823416542,2900,95.45442823416542,0.1,0.14999999,343.1803448275862,12.67507,995223,99.41790602234668,0.031880031663654974
27.342018,19.003862,-0.20948696,100,30,90.40966347899509,15.845962,111,3.0,96.00494947432303,3000,96.00494947432303,0.1,0.14999999,341.408,27.33705,1024224,99.41790602234668,0.02471650473035479
4.730098,12.531243,-0.1573597,100,31,90.61704689509615,13.112257,111,3.0,96.83854937812812,3100,96.83854937812812,0.1,0.14999999,341.6667741935484,4.416916,1059167,99.41790602234668,0.018159483207400334
42.570995,12.85161,0.011893898,100,32,90.8119775979496,13.553948,111,3.0,96.85482938640662,3200,96.85482938640662,0.1,0.14999999,341.7396875,42.559036,1093567,99.41790602234668,0.020000992910787864
86.1795,11.712463,0.112793885,100,33,90.33387812983841,9.298044,111,3.0,75.0346951502802,3300,75.0346951502802,0.1,0.14999999,347.9381818181818,86.15233,1148196,99.41790602234668,18.223352030779278
45.804585,14.976687,-0.10359839,100,34,90.4841943968803,17.913277,111,3.0,95.4446312092627,3400,95.4446312092627,0.1,0.14999999,345.48617647058825,45.80407,1174653,99.41790602234668,0.03708478787312674
2.2752047,17.264517,-0.12532079,100,35,90.6617677492424,13.33287,111,3.0,96.69926172955392,3500,96.69926172955392,0.1,0.14999999,346.18,1.7200757,1211630,99.41790602234668,0.02233969079148116
22.953627,17.06467,0.046686783,100,36,90.83973358500808,13.183944,111,3.0,97.06853783680668,3600,97.06853783680668,0.1,0.14999999,345.95472222222224,22.943573,1245437,99.41790602234668,0.015383499094973607
68.741844,12.67833,-0.02124644,100,37,90.88333545028257,10.889586,111,3.0,92.45300260016452,3700,92.45300260016452,0.1,0.14999999,347.84810810810814,68.73903,1287038,99.41790602234668,4.867328495315586
45.258347,20.892277,0.040937394,100,38,91.00491797973318,17.763489,111,3.0,95.5034715694049,3800,95.5034715694049,0.1,0.14999999,345.8152631578947,45.24079,1314098,99.41790602234668,0.036525355863407084
27.12362,14.020058,0.16697368,100,39,91.04202635753906,13.239409,111,3.0,92.45214471416338,3900,92.45214471416338,0.1,0.14999999,346.53641025641025,27.121971,1351492,99.41790602234668,4.183473936843805
35.173412,16.44156,0.19688076,100,40,91.15179908294456,15.951607,111,3.0,95.4329353737589,4000,95.4329353737589,0.1,0.14999999,345.00175,35.16379,1380007,99.41790602234668,0.027917441820385268
18.49746,17.728724,0.27915016,100,41,91.21713717536893,19.467985,102,3.0,93.83066087234346,4100,93.83066087234346,0.1,0.14999999,342.6131707317073,18.419588,1404714,99.41790602234668,0.05993705640937538
20.498627,19.293194,0.4487033,100,42,91.17801330501958,17.626026,102,3.0,89.57393462069628,4200,89.57393462069628,0.1,0.14999999,341.10714285714283,20.426579,1432650,99.41790602234668,4.93209022292719
50.273968,20.247261,0.2769887,100,43,91.24610106077803,19.668684,102,3.0,94.10578680263292,4300,94.10578680263292,0.1,0.14999999,338.68627906976747,50.25751,1456351,99.41790602234668,0.05680126884308383
9.849103,19.574106,0.14836468,100,44,91.30276723147253,14.642933,102,3.0,93.73941257133627,4400,93.73941257133627,0.1,0.14999999,338.385,9.691305,1488894,99.41790602234668,2.5321912107387807
54.815403,17.47953,0.32396153,100,45,91.36298615225573,15.612063,102,3.0,94.01261866671639,4500,94.01261866671639,0.1,0.14999999,337.8757777777778,54.81069,1520441,99.41790602234668,1.185914877929566
54.04573,10.042155,0.25209117,100,46,90.72185700626667,10.130995,102,3.0,61.871045436759225,4600,61.871045436759225,0.1,0.14999999,343.45673913043476,53.977993,1579901,99.41790602234668,25.561524308489133
18.187151,10.96848,-0.018416286,100,47,90.83440528279014,15.528794,102,3.0,96.01162600286942,4700,96.01162600286942,0.1,0.14999999,342.93638297872343,18.166334,1611801,99.41790602234668,0.028606755187375474
45.710495,12.819824,0.06857564,100,48,90.94755253203448,13.712161,102,3.0,96.26547324651861,4800,96.26547324651861,0.1,0.14999999,342.8779166666667,45.66421,1645814,99.41790602234668,0.022422097246303542
13.644268,21.052967,0.2742259,100,49,91.0215143810107,18.278582,96,3.0,94.57168313186904,4900,94.57168313186904,0.1,0.14999999,340.944693877551,13.603431,1670629,99.41790602234668,0.053673541531951904
7.161424,15.118259,0.16874056,100,50,91.10977884541208,16.918238,96,3.0,95.43473760108037,5000,95.43473760108037,0.1,0.14999999,339.5142,6.859769,1697571,99.41790602234668,0.03209201224260318
