Regret,ReturnMean,TimeElapsed,ReturnLastEpisode,LQGsigma_higher,LQGmu1_actor,LQGmu1_higher,Iteration,Regret/t
0.20107552531924,0.9884439353264804,0.031028032302856445,17.19892447468076,0.01831564,-1.003298,-1.0,1,0.20107552531924
0.3556885269589145,0.9897790653172726,0.4135141372680664,17.245386998360324,0.01831564,-0.94610703,-0.9591837,2,0.17784426347945725
0.47457080941333984,0.9909086051836525,0.6170027256011963,17.281117717545573,0.01831564,-0.91467375,-0.9183673,3,0.15819026980444661
0.5788743238307035,0.9916828401748462,0.8225517272949219,17.295696485582635,0.01831564,-0.89301914,-0.877551,4,0.14471858095767587
0.6634498535156155,0.992374139614763,1.0249741077423096,17.315424470315087,0.01831564,-0.844019,-0.8367347,5,0.1326899707031231
0.7024169645150451,0.9932718681559861,1.2464463710784912,17.36103288900057,0.01831564,-0.7885094,-0.79591835,6,0.11706949408584084
0.728907467217045,0.9940155380359847,1.424006700515747,17.373509497298,0.01831564,-0.7687423,-0.75510204,7,0.10412963817386357
0.7594813851717674,0.9945439555662947,1.6265614032745361,17.369426082045276,0.01831564,-0.72272193,-0.71428573,8,0.09493517314647093
0.8000657737573142,0.9948910231560836,1.8346474170684814,17.35941561141445,0.01831564,-0.67823505,-0.67346936,9,0.08889619708414603
0.7814325622188427,0.9955090082631101,2.037957191467285,17.41863321153847,0.01831564,-0.6068506,-0.63265306,10,0.07814325622188427
0.7906585626145528,0.9958690775203002,2.2413086891174316,17.39077399960429,0.01831564,-0.6047526,-0.59183675,11,0.07187805114677753
0.78994742452862,0.9962167268940201,2.4197375774383545,17.40071113808593,0.01831564,-0.5545399,-0.5510204,12,0.06582895204405166
0.7999000181551601,0.9964637488145219,2.59849214553833,17.39004740637346,0.01831564,-0.513674,-0.5102041,13,0.06153077062732001
0.8116448679567263,0.9966681245157771,2.8104679584503174,17.388255150198432,0.01831564,-0.48769522,-0.46938777,14,0.05797463342548045
0.914908227155582,0.996494604493657,3.0755841732025146,17.296736640801143,0.01831564,-0.42837098,-0.42857143,15,0.06099388181037213
1.0769282947432792,0.9961317230792269,3.2783844470977783,17.2379799324123,0.01831564,-0.3747375,-0.3877551,16,0.06730801842145495
1.1969168762032432,0.9959536278694957,3.482494592666626,17.280011418540035,0.01831564,-0.35702476,-0.3469388,17,0.07040687507077902
1.3743464825931504,0.995611920553662,3.6865968704223633,17.22257039361009,0.01831564,-0.3100472,-0.30612245,18,0.07635258236628613
1.8162769012983162,0.9945061194758069,3.8903586864471436,16.958069581294833,0.01831564,-0.24483183,-0.26530612,19,0.09559352112096402
2.2881770581119127,0.9934247785686441,4.0959179401397705,16.928099843186402,0.01831564,-0.19842795,-0.2244898,20,0.11440885290559563
2.9687042009257567,0.9918754674304169,4.300260782241821,16.719472857186155,0.01831564,-0.1812117,-0.18367347,21,0.14136686671075033
4.022746141227859,0.9894912587742222,4.487601041793823,16.345958059697896,0.01831564,-0.12910664,-0.14285715,22,0.18285209732853905
5.690045593622601,0.9857819950184346,4.677223443984985,15.732700547605257,0.01831564,-0.09710282,-0.10204082,23,0.24739328667924354
8.431758281511181,0.9798090079465731,4.948271989822388,14.658287312111419,0.01831564,-0.05413342,-0.06122449,24,0.3513232617296325
14.38147162856179,0.9669391456814673,5.153753757476807,11.450286652949389,0.01831564,-0.018418368,-0.020408163,25,0.5752588651424716
22.39292077312571,0.950501943472313,5.337749004364014,9.388550855436081,0.01831564,0.01529887,0.020408163,26,0.8612661835817581
30.698775560561423,0.9346556501478048,5.584319353103638,9.094145212564284,0.01831564,0.050610527,0.06122449,27,1.136991687428201
39.109516983265976,0.9197259503627547,5.7940592765808105,8.989258577295447,0.01831564,0.11257992,0.10204082,28,1.3967684636880706
47.576101931302624,0.9057152161488257,5.999541521072388,8.933415051963351,0.01831564,0.13714136,0.14285715,29,1.6405552390104352
56.1626129269399,0.8924087874962839,6.206358909606934,8.813489004362724,0.01831564,0.1788287,0.18367347,30,1.8720870975646633
64.94716368886927,0.8795936898611991,6.416187524795532,8.615449238070624,0.01831564,0.2317999,0.2244898,31,2.0950697964151375
74.10773656690155,0.8669042087519729,6.6267499923706055,8.239427121967719,0.01831564,0.3082713,0.26530612,32,2.3158667677156735
83.46781770834048,0.854636332796342,6.900617361068726,8.039918858561073,0.01831564,0.3419707,0.30612245,33,2.5293278093436506
93.00997276379802,0.8427823313661292,7.105602264404297,7.857844944542462,0.01831564,0.37005657,0.3469388,34,2.7355874342293536
102.8264010525127,0.8311553348891418,7.2833147048950195,7.583571711285315,0.01831564,0.40873754,0.3877551,35,2.9378971729289343
112.65096811233909,0.8201612897312596,7.488571405410767,7.575432940173604,0.01831564,0.4098296,0.42857143,36,3.1291935586760857
123.01282819898645,0.80892695216063,7.695322513580322,7.038139913352632,0.01831564,0.47641715,0.46938777,37,3.3246710324050395
134.07074958239068,0.7972311712305041,7.875383138656616,6.342078616595766,0.01831564,0.5508398,0.5102041,38,3.5281776205892283
145.4021256921135,0.7857322049924647,8.080777645111084,6.068623890277195,0.01831564,0.57745916,0.5510204,39,3.728259633131115
156.94617067670055,0.7745026283380739,8.284877061843872,5.855955015412941,0.01831564,0.5973419,0.59183675,40,3.923654266917514
168.95321047231147,0.7631718384184029,8.491811275482178,5.392960204389087,0.01831564,0.6384903,0.63265306,41,4.120810011519792
181.41150614587534,0.7517631278792073,8.765384435653687,4.941704326436119,0.01831564,0.67619014,0.67346936,42,4.319321574901794
194.41593151142408,0.7401551302974819,8.94486379623413,4.395574634451269,0.01831564,0.7191778,0.71428573,43,4.521300732823816
208.01897810223718,0.7282928708173496,9.125036239624023,3.796953409186895,0.01831564,0.76352185,0.75510204,44,4.727704047778118
222.06016998218246,0.7163982503420403,9.335541248321533,3.35880812005471,0.01831564,0.794411,0.79591835,45,4.934670444048499
236.3518386686918,0.704707847740265,9.543233871459961,3.108331313490633,0.01831564,0.81154156,0.8367347,46,5.138083449319387
251.94439817277453,0.691924189077067,9.751034259796143,1.8074404959172716,0.01831564,0.8952551,0.877551,47,5.360519110059032
268.2002083287634,0.6788790609090475,9.956787586212158,1.1441898440111207,0.01831564,0.9350557,0.9183673,48,5.58750434018257
284.5994030924765,0.6661982135908086,10.163026332855225,1.0008052362868904,0.01831564,0.94343925,0.9591837,49,5.808151083519928
301.4015715450869,0.6535614120171414,10.369301795959473,0.597831547389614,0.01831564,0.9666115,1.0,50,6.028031430901738
301.60114346500416,0.6601294303977865,10.687287330627441,17.20042808008274,0.0285655,-1.0201598,-1.0,51,5.913747911078513
